income_year,sex,taxable_status,age_range,taxable_income_range,tax_bracket,tax_bracket_range,individuals_count,salary_wages_count,salary_wages_amount,total_income_count,total_income_amount,car_expenses_count,car_expenses_amount,travel_expenses_count,travel_expenses_amount,uniform_expenses_count,uniform_expenses_amount,education_expenses_count,education_expenses_amount,other_work_expenses_count,other_work_expenses_amount,donations_count,donations_amount,tax_affairs_count,tax_affairs_amount,ato_interest_count,ato_interest_amount,litigation_count,litigation_amount,other_tax_affairs_count,other_tax_affairs_amount,total_deductions_count,total_deductions_amount,capital_gains_count,capital_gains_amount,rent_profit_count,rent_profit_amount,rent_loss_count,rent_loss_amount,net_rent_count,net_rent_amount,business_income_count,business_income_amount,business_expenses_count,business_expenses_amount,net_business_count,net_business_amount,taxable_income_count,taxable_income_amount,net_tax_count,net_tax_amount
2013–14,Female,Taxable,07. 50 - 54,"B00025001. $25,001 to $30,000",2,"$18,201 to $37,000",39830.0,34766.0,927232512.0,39830.0,1156295926.0,9880.0,17362017.0,1863.0,1592322.0,24089.0,6195298.0,1332.0,1568942.0,22122.0,12523035.0,15892.0,3753252.0,20282.0,4444626.0,,,,,,,35522.0,57179036.0,1572.0,7189410.0,2523.0,18232719.0,4474.0,-29314329.0,6997.0,-11081610.0,3384.0,170971435.0,3333.0,121105738.0,3458.0,47951120.0,39830.0,1096368453.0,39830.0,65868663.0
2013–14,Female,Taxable,07. 50 - 54,"B00030001. $30,001 to $37,000",2,"$18,201 to $37,000",63843.0,57518.0,1882270873.0,63843.0,2254218412.0,17003.0,29084690.0,3432.0,2889846.0,40792.0,10790973.0,2232.0,2951711.0,38133.0,22998938.0,27606.0,6934980.0,34517.0,7678462.0,,,,,,,58437.0,101790279.0,2659.0,14144081.0,4049.0,28384459.0,7250.0,-46814697.0,11299.0,-18430238.0,4273.0,212307716.0,4210.0,141731993.0,4391.0,67400877.0,63843.0,2148873035.0,63843.0,184360953.0
2013–14,Female,Taxable,07. 50 - 54,"B00037001. $37,001 to $40,000",3,"$37,001 to $80,000",29327.0,26961.0,1011913507.0,29327.0,1180381656.0,8292.0,13929771.0,1727.0,1509247.0,19304.0,5244227.0,995.0,1236749.0,18409.0,11909890.0,13335.0,3242959.0,16623.0,3632600.0,,,,,,,27217.0,50675743.0,1237.0,6106560.0,1861.0,12485879.0,3377.0,-22504892.0,5238.0,-10019013.0,1595.0,84851126.0,1595.0,56553579.0,1675.0,26774297.0,29327.0,1128677289.0,29327.0,120511576.0
2013–14,Female,Taxable,07. 50 - 54,"B00040001. $40,001 to $45,000",3,"$37,001 to $80,000",45887.0,42912.0,1791691464.0,45887.0,2031775728.0,13787.0,22490583.0,3028.0,2590072.0,30753.0,8351163.0,1702.0,2293909.0,30371.0,20863431.0,22032.0,5366399.0,26672.0,5954601.0,,,,,,,43204.0,81813101.0,1972.0,10838055.0,2902.0,19568272.0,5338.0,-35771035.0,8240.0,-16202763.0,2340.0,120254015.0,2330.0,76530476.0,2415.0,41163301.0,45887.0,1947988177.0,45887.0,253983646.0
2013–14,Female,Taxable,07. 50 - 54,"B00045001. $45,001 to $50,000",3,"$37,001 to $80,000",39670.0,37325.0,1733024246.0,39670.0,1959944481.0,12800.0,21295603.0,3010.0,2570456.0,26043.0,6969756.0,1486.0,2108338.0,26709.0,19994419.0,19745.0,5372187.0,23190.0,5454801.0,,,,,,,37418.0,76825797.0,1859.0,12088787.0,2703.0,18660925.0,4884.0,-33390519.0,7587.0,-14729594.0,1901.0,98932347.0,1878.0,62289892.0,1981.0,33848625.0,39670.0,1881742701.0,39670.0,289823134.0
2013–14,Female,Taxable,07. 50 - 54,"B00050001. $50,001 to $55,000",3,"$37,001 to $80,000",34289.0,32333.0,1658709245.0,34289.0,1870267798.0,11458.0,19298249.0,2944.0,2516551.0,21385.0,5661109.0,1423.0,2133173.0,23756.0,19309598.0,17595.0,5177899.0,20179.0,4858837.0,,,,,,,32426.0,72259347.0,1896.0,12421827.0,2553.0,17968782.0,4498.0,-32104027.0,7051.0,-14135245.0,1689.0,104886501.0,1676.0,71495298.0,1776.0,32390332.0,34289.0,1797306197.0,34289.0,311029257.0
2013–14,Female,Taxable,07. 50 - 54,"B00055001. $55,001 to $60,000",3,"$37,001 to $80,000",29319.0,27714.0,1554005338.0,29319.0,1753245330.0,9983.0,17446343.0,2904.0,2623148.0,17453.0,4562988.0,1211.0,1763865.0,20717.0,18684088.0,15546.0,4800471.0,17150.0,4293912.0,,,,,,,27825.0,67840532.0,1678.0,13145006.0,2178.0,15991051.0,4327.0,-32156537.0,6505.0,-16165486.0,1386.0,116788244.0,1378.0,85970965.0,1466.0,27175053.0,29319.0,1684209425.0,29319.0,318011231.0
2013–14,Female,Taxable,07. 50 - 54,"B00060001. $60,001 to $70,000",3,"$37,001 to $80,000",47500.0,44896.0,2816743427.0,47500.0,3200924525.0,16253.0,28802632.0,5610.0,5930212.0,26420.0,6861556.0,2222.0,3430907.0,35140.0,35965051.0,26118.0,8865683.0,28298.0,7951319.0,,,,,,,45136.0,122361124.0,2955.0,26694553.0,3951.0,30303028.0,7583.0,-57261655.0,11534.0,-26958627.0,2236.0,153440143.0,2222.0,101634726.0,2356.0,48945230.0,47500.0,3077265585.0,47500.0,637932370.0
2013–14,Female,Taxable,07. 50 - 54,"B00070001. $70,001 to $80,000",3,"$37,001 to $80,000",39286.0,36535.0,2588066458.0,39286.0,3070198563.0,13712.0,25026498.0,5293.0,5981225.0,19437.0,4973620.0,1911.0,3312714.0,29369.0,36012954.0,21517.0,9143486.0,22950.0,7097942.0,,,,,,,37210.0,122123935.0,2769.0,28021415.0,3817.0,31727258.0,7029.0,-56366149.0,10846.0,-24638891.0,1891.0,147783411.0,1868.0,100627525.0,2012.0,45181113.0,39286.0,2946885313.0,39286.0,665245447.0
2013–14,Female,Taxable,07. 50 - 54,"B00080001. $80,001 to $90,000",4,"$80,001 to $180,000",30023.0,28183.0,2264468134.0,30023.0,2648580630.0,11492.0,20550956.0,4731.0,5169028.0,13829.0,3486475.0,1578.0,2649124.0,23576.0,33270085.0,17188.0,10479715.0,18058.0,5667721.0,,,,,,,28666.0,104971106.0,2283.0,25899476.0,3026.0,25183154.0,4991.0,-38950095.0,8017.0,-13766941.0,1389.0,115187451.0,1363.0,76179962.0,1482.0,37071747.0,30023.0,2542903947.0,30023.0,613503186.0
2013–14,Female,Taxable,07. 50 - 54,"B00090001. $90,001 to $100,000",4,"$80,001 to $180,000",18487.0,17392.0,1541195243.0,18487.0,1817957765.0,7003.0,13797005.0,3320.0,3524115.0,7773.0,1962594.0,961.0,1746131.0,14688.0,21528419.0,10731.0,5193504.0,11251.0,3877644.0,,,,,,,17772.0,68234548.0,1698.0,24028972.0,2227.0,20252949.0,3238.0,-26571585.0,5465.0,-6318636.0,927.0,88041729.0,934.0,56266908.0,995.0,30339026.0,18487.0,1749096564.0,18487.0,448207764.0
2013–14,Female,Taxable,07. 50 - 54,"B00100001. $100,001 to $150,000",4,"$80,001 to $180,000",33224.0,29969.0,3073236671.0,33224.0,4094033891.0,10633.0,27853277.0,5779.0,8165181.0,10924.0,2764937.0,1498.0,3274471.0,24156.0,36913770.0,19040.0,12118222.0,19575.0,8967218.0,,,,,,,31393.0,155410334.0,4088.0,89722047.0,4706.0,53407140.0,6752.0,-63466706.0,11458.0,-10059566.0,2282.0,327420625.0,2263.0,209495464.0,2445.0,114185228.0,33224.0,3936192043.0,33224.0,1105504861.0
2013–14,Female,Taxable,07. 50 - 54,"B00150001. $150,001 to $180,000",4,"$80,001 to $180,000",7464.0,6045.0,707097801.0,7464.0,1281990760.0,1761.0,6265936.0,971.0,1845997.0,1618.0,423891.0,208.0,522069.0,4387.0,7369247.0,3923.0,4283888.0,4068.0,2578120.0,,,,,,,6840.0,49057292.0,1221.0,45835922.0,1229.0,16211436.0,1574.0,-19459627.0,2803.0,-3248191.0,644.0,119126802.0,619.0,72536543.0,677.0,45874488.0,7464.0,1232150612.0,7464.0,380481699.0
