income_year,normalized_income_range,income_range_display,sex,taxable_status,age_range_display,individuals_count,total_income_amount,net_tax_amount
2010–11,"$150,001 to $200,000","$150,001 to $200,000",Female,Taxable,70 - 74,1748.0,315121764.9612787,81475517.8338528
2010–11,"$150,001 to $200,000","$150,001 to $200,000",Female,Taxable,75 and over,5510.0,967549477.29843,252329697.1168758
2010–11,"$150,001 to $200,000","$150,001 to $200,000",Female,Taxable,Under 18,24.0,4043815.315712848,1133294.8269470832
2010–11,"$150,001 to $200,000","$150,001 to $200,000",Male,Non Taxable,35 - 39,4.0,1031608.8602801461,0.0
2010–11,"$150,001 to $200,000","$150,001 to $200,000",Male,Non Taxable,40 - 44,8.0,1679228.103517835,0.0
2010–11,"$150,001 to $200,000","$150,001 to $200,000",Male,Non Taxable,45 - 49,4.0,854457.592258382,0.0
2010–11,"$150,001 to $200,000","$150,001 to $200,000",Male,Non Taxable,50 - 54,12.0,2039160.373907679,0.0
2010–11,"$150,001 to $200,000","$150,001 to $200,000",Male,Non Taxable,55 - 59,147.0,25625063.393479507,0.0
2010–11,"$150,001 to $200,000","$150,001 to $200,000",Male,Non Taxable,60 - 64,12.0,1970805.4980699068,0.0
2010–11,"$150,001 to $200,000","$150,001 to $200,000",Male,Taxable,18 - 24,6910.0,1178300369.5938392,318987415.6123889
2010–11,"$150,001 to $200,000","$150,001 to $200,000",Male,Taxable,25 - 29,26734.0,4591807299.112918,1236827403.0877452
2010–11,"$150,001 to $200,000","$150,001 to $200,000",Male,Taxable,30 - 34,49611.0,8608123684.587437,2319073268.5739713
2010–11,"$150,001 to $200,000","$150,001 to $200,000",Male,Taxable,35 - 39,64088.0,11213121316.345438,3025485848.833584
2010–11,"$150,001 to $200,000","$150,001 to $200,000",Male,Taxable,40 - 44,64005.0,11217290489.817173,3026783401.59374
2010–11,"$150,001 to $200,000","$150,001 to $200,000",Male,Taxable,45 - 49,60552.0,10598182748.69588,2852794492.545778
2010–11,"$150,001 to $200,000","$150,001 to $200,000",Male,Taxable,50 - 54,53512.0,9372753345.502377,2510086914.961321
2010–11,"$150,001 to $200,000","$150,001 to $200,000",Male,Taxable,55 - 59,39356.0,6919092677.383327,1772352359.7572386
2010–11,"$150,001 to $200,000","$150,001 to $200,000",Male,Taxable,60 - 64,21256.0,3782907094.442911,974846826.2012477
2010–11,"$150,001 to $200,000","$150,001 to $200,000",Male,Taxable,65 - 69,7100.0,1287429757.456518,322680725.5768371
2010–11,"$150,001 to $200,000","$150,001 to $200,000",Male,Taxable,70 - 74,2600.0,482349350.84971815,119417500.94803847
2010–11,"$150,001 to $200,000","$150,001 to $200,000",Male,Taxable,75 and over,4634.0,817192368.2564785,211109706.8326589
2010–11,"$150,001 to $200,000","$150,001 to $200,000",Male,Taxable,Under 18,44.0,7320226.358380095,2089716.9866848877
2010–11,"$20,001 to $30,000","$20,001 to $30,000",Female,Non Taxable,18 - 24,29753.0,602950850.1097395,0.0
2010–11,"$20,001 to $30,000","$20,001 to $30,000",Female,Non Taxable,25 - 29,14295.0,324252916.4603379,0.0
2010–11,"$20,001 to $30,000","$20,001 to $30,000",Female,Non Taxable,30 - 34,13668.0,317759054.12777174,0.0
2010–11,"$20,001 to $30,000","$20,001 to $30,000",Female,Non Taxable,35 - 39,14373.0,338498884.8098579,0.0
2010–11,"$20,001 to $30,000","$20,001 to $30,000",Female,Non Taxable,40 - 44,13242.0,312613675.6849924,0.0
2010–11,"$20,001 to $30,000","$20,001 to $30,000",Female,Non Taxable,45 - 49,10792.0,251908117.86112887,0.0
2010–11,"$20,001 to $30,000","$20,001 to $30,000",Female,Non Taxable,50 - 54,9293.0,210752052.30078167,0.0
2010–11,"$20,001 to $30,000","$20,001 to $30,000",Female,Non Taxable,55 - 59,11677.0,274912001.91481566,0.0
2010–11,"$20,001 to $30,000","$20,001 to $30,000",Female,Non Taxable,60 - 64,14102.0,339916491.6627884,0.0
2010–11,"$20,001 to $30,000","$20,001 to $30,000",Female,Non Taxable,65 - 69,14621.0,403296870.49813855,0.0
2010–11,"$20,001 to $30,000","$20,001 to $30,000",Female,Non Taxable,70 - 74,10060.0,281732098.387604,0.0
2010–11,"$20,001 to $30,000","$20,001 to $30,000",Female,Non Taxable,75 and over,16374.0,492672880.7482068,0.0
2010–11,"$20,001 to $30,000","$20,001 to $30,000",Female,Non Taxable,Under 18,2969.0,53148409.49687838,0.0
2010–11,"$20,001 to $30,000","$20,001 to $30,000",Female,Taxable,18 - 24,46883.0,1552932751.7007282,79532394.07403947
2010–11,"$20,001 to $30,000","$20,001 to $30,000",Female,Taxable,25 - 29,22472.0,772816260.8119934,40819533.69933775
2010–11,"$20,001 to $30,000","$20,001 to $30,000",Female,Taxable,30 - 34,18754.0,644244322.6049714,33330397.19287715
2010–11,"$20,001 to $30,000","$20,001 to $30,000",Female,Taxable,35 - 39,20311.0,698823677.6966221,36006958.775044024
2010–11,"$20,001 to $30,000","$20,001 to $30,000",Female,Taxable,40 - 44,21928.0,758247808.568442,39775863.821988106
2010–11,"$20,001 to $30,000","$20,001 to $30,000",Female,Taxable,45 - 49,21934.0,765104901.3604333,40780631.772975996
2010–11,"$20,001 to $30,000","$20,001 to $30,000",Female,Taxable,50 - 54,20968.0,736067235.024992,39485962.06617678
2010–11,"$20,001 to $30,000","$20,001 to $30,000",Female,Taxable,55 - 59,15551.0,566573306.4923162,23066512.00182218
2010–11,"$20,001 to $30,000","$20,001 to $30,000",Female,Taxable,60 - 64,11853.0,434110455.823315,17218494.37025959
2010–11,"$20,001 to $30,000","$20,001 to $30,000",Female,Taxable,65 - 69,2013.0,81833482.57150963,2820166.9565354995
2010–11,"$20,001 to $30,000","$20,001 to $30,000",Female,Taxable,70 - 74,887.0,36526010.57581488,1201345.2182958021
2010–11,"$20,001 to $30,000","$20,001 to $30,000",Female,Taxable,75 and over,1007.0,39068264.41138765,1296840.2469344507
2010–11,"$20,001 to $30,000","$20,001 to $30,000",Female,Taxable,Under 18,953.0,26545726.065814517,1131536.4205114753
2010–11,"$20,001 to $30,000","$20,001 to $30,000",Male,Non Taxable,18 - 24,25279.0,507570796.2906749,0.0
2010–11,"$20,001 to $30,000","$20,001 to $30,000",Male,Non Taxable,25 - 29,10224.0,218731046.6804152,0.0
2010–11,"$20,001 to $30,000","$20,001 to $30,000",Male,Non Taxable,30 - 34,6766.0,150121292.87517142,0.0
2010–11,"$20,001 to $30,000","$20,001 to $30,000",Male,Non Taxable,35 - 39,6044.0,136480516.09979293,0.0
2010–11,"$20,001 to $30,000","$20,001 to $30,000",Male,Non Taxable,40 - 44,5914.0,132615533.12122318,0.0
2010–11,"$20,001 to $30,000","$20,001 to $30,000",Male,Non Taxable,45 - 49,5946.0,134328528.2091612,0.0
2010–11,"$20,001 to $30,000","$20,001 to $30,000",Male,Non Taxable,50 - 54,5828.0,133329503.65099221,0.0
2010–11,"$20,001 to $30,000","$20,001 to $30,000",Male,Non Taxable,55 - 59,7675.0,188889981.87620527,0.0
2010–11,"$20,001 to $30,000","$20,001 to $30,000",Male,Non Taxable,60 - 64,10151.0,248901261.7418613,0.0
2010–11,"$20,001 to $30,000","$20,001 to $30,000",Male,Non Taxable,65 - 69,14859.0,417807899.1840558,0.0
2010–11,"$20,001 to $30,000","$20,001 to $30,000",Male,Non Taxable,70 - 74,10507.0,291308897.99216425,0.0
2010–11,"$20,001 to $30,000","$20,001 to $30,000",Male,Non Taxable,75 and over,14329.0,412579302.6950083,0.0
2010–11,"$20,001 to $30,000","$20,001 to $30,000",Male,Non Taxable,Under 18,3408.0,63274615.30018927,0.0
2010–11,"$20,001 to $30,000","$20,001 to $30,000",Male,Taxable,18 - 24,47485.0,1620096359.4480896,81076080.34694897
2010–11,"$20,001 to $30,000","$20,001 to $30,000",Male,Taxable,25 - 29,21588.0,752397478.8650388,38451021.27727617
2010–11,"$20,001 to $30,000","$20,001 to $30,000",Male,Taxable,30 - 34,13734.0,484079950.6644312,24490033.03598501
2010–11,"$20,001 to $30,000","$20,001 to $30,000",Male,Taxable,35 - 39,11781.0,419367353.7233306,21097076.04739664
2010–11,"$20,001 to $30,000","$20,001 to $30,000",Male,Taxable,40 - 44,11432.0,406837384.82266957,20547295.75222573
2010–11,"$20,001 to $30,000","$20,001 to $30,000",Male,Taxable,45 - 49,11388.0,403350699.16307664,20489230.213893484
2010–11,"$20,001 to $30,000","$20,001 to $30,000",Male,Taxable,50 - 54,11244.0,403183387.82569814,20388687.73617683
2010–11,"$20,001 to $30,000","$20,001 to $30,000",Male,Taxable,55 - 59,9356.0,350474771.46398985,13554111.10746834
2010–11,"$20,001 to $30,000","$20,001 to $30,000",Male,Taxable,60 - 64,10439.0,392131810.6708919,14697479.283153499
2010–11,"$20,001 to $30,000","$20,001 to $30,000",Male,Taxable,65 - 69,2353.0,101560911.07198335,3269540.1275053173
2010–11,"$20,001 to $30,000","$20,001 to $30,000",Male,Taxable,70 - 74,1046.0,45818690.7653963,1366683.306380734
2010–11,"$20,001 to $30,000","$20,001 to $30,000",Male,Taxable,75 and over,1163.0,45381742.23528764,1341735.5765080408
2010–11,"$20,001 to $30,000","$20,001 to $30,000",Male,Taxable,Under 18,2052.0,61613242.16480604,2589173.8846860654
2010–11,"$200,001 to $250,000","$200,001 to $250,000",Female,Non Taxable,55 - 59,61.0,13786932.40319165,0.0
2010–11,"$200,001 to $250,000","$200,001 to $250,000",Female,Non Taxable,60 - 64,0.0,263.78104001757134,0.0
2010–11,"$200,001 to $250,000","$200,001 to $250,000",Female,Taxable,18 - 24,1073.0,261453128.0453596,81215377.25766371
2010–11,"$200,001 to $250,000","$200,001 to $250,000",Female,Taxable,25 - 29,1306.0,311569864.7209953,94512086.87245466
2010–11,"$200,001 to $250,000","$200,001 to $250,000",Female,Taxable,30 - 34,3453.0,819101187.2180402,246885574.6211147
2010–11,"$200,001 to $250,000","$200,001 to $250,000",Female,Taxable,35 - 39,5296.0,1263223291.7796378,379013889.95446664
2010–11,"$200,001 to $250,000","$200,001 to $250,000",Female,Taxable,40 - 44,6235.0,1494534340.7390287,447092379.06918883
2010–11,"$200,001 to $250,000","$200,001 to $250,000",Female,Taxable,45 - 49,5673.0,1367523780.104961,407196761.4742337
2010–11,"$200,001 to $250,000","$200,001 to $250,000",Female,Taxable,50 - 54,4601.0,1130261858.9696372,329581922.55770767
2010–11,"$200,001 to $250,000","$200,001 to $250,000",Female,Taxable,55 - 59,3659.0,902864345.4897801,232258147.5931086
2010–11,"$200,001 to $250,000","$200,001 to $250,000",Female,Taxable,60 - 64,2037.0,517694394.59742284,143034969.00373894
2010–11,"$200,001 to $250,000","$200,001 to $250,000",Female,Taxable,65 - 69,1129.0,285192919.08488023,79850904.69922534
2010–11,"$200,001 to $250,000","$200,001 to $250,000",Female,Taxable,70 - 74,752.0,186028195.05350184,52989863.94411923
2010–11,"$200,001 to $250,000","$200,001 to $250,000",Female,Taxable,75 and over,2141.0,512661667.2386675,148065736.4162131
2010–11,"$200,001 to $250,000","$200,001 to $250,000",Female,Taxable,Under 18,9.0,2298646.937228813,778406.3108532572
2010–11,"$200,001 to $250,000","$200,001 to $250,000",Male,Non Taxable,35 - 39,5.0,1277871.3828492376,0.0
2010–11,"$200,001 to $250,000","$200,001 to $250,000",Male,Non Taxable,40 - 44,9.0,2310731.5524753495,0.0
